			BibTeX Key	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
FALSCH	FALSCH	FALSCH	Ewert.2018	Ewert, Felicia	Trans. Frau. Sein		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt; 6.3 Diskriminierung	Diskriminierung // discrimination; Trans* // trans*; Weiblichkeit // femininity
FALSCH	FALSCH	FALSCH	Fangerau.2017	Fangerau, Heiner; Bagattini, Alexander; Fegert, Jörg M.; Tippelt, Rudolf; Viehöver, Willy; Ziegenhain, Ute	Präventive Strategien zur Verhinderung sexuellen Missbrauchs in pädagogischen Einrichtungen		3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Kindeswohl // child welfare; Pädagogische Einrichtung // educational facilities; Prävention // prevention; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Fastabend.2018	Fastabend, Elena; Wildfeuer, Armin G.	Der Fremde Mann und seine Sexualität	Migration und soziale Arbeit	1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.3 Ethnizität; 6 Gewalt; 6.2 Übergriff, Peergewalt; 7 Sexualität; 7.2 Beziehungsgestaltung	Diskursanalyse // discourse analysis; Forschungsergebnisse // research results; Geflüchtete // refugees; interkulturell // intercultural; Rassismus // racism; Sexualisierte Gewalt // sexual violence; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	Feddersen.2020	Feddersen, Jan; Gammerl, Benno; Nicolaysen, Rainer; Wolf, Benedikt	Jahrbuch Sexualitäten 2020		7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.3 Sexuelle Selbstbestimmung	Diskurs // discourse; Forschungsstand // state of research; Queer Theorie // Queer Theory; Sexualität // sexuality; Sexualkultur // sexuality culture; Theorie // theory
FALSCH	FALSCH	FALSCH	Fegert.2020	Fegert, Jörg M.; Gulde, Manuela; Henn, Katharina; Husmann, Laura; Kampert, Meike; Rusack, Tanja; Schröer, Wolfgang; Wolff, Mechthild; Ziegenhain, Ute	POSITIONEN: Kinderrechte in der Vollzeitpflege – Reformbedarf zur Verwirklichung von Schutzkonzepten in der Infrastruktur der Pflegekinderhilfe		1 Soziale Rahmung; 1.2 Leitlinien; 2 Institutioneller Kontext; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder; 5.3 Eltern und Familie; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.2.3 FosterCare	Grenzen // boundaries; Kinder // children; Kinderschutz // child protection; Kindeswohl // child welfare; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Recht // law; Schutzfaktoren // protection factor; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	Fegert.2015b	Fegert, Jörg M.; Hoffmann, Ulrike; König, Elisa; Niehues, Johanna; Liebhardt, Hubert	Sexueller Missbrauch von Kindern und Jugendlichen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.12 Safer Places	Evaluation // evaluation; Gefahrendiskurs // danger narrative; Handbuch // handbook; Handlungsempfehlungen // guidelines; interkulturell // intercultural; Intervention // intervention; Kinderschutz // child protection; Kindeswohl // child welfare; Konzepte, Materialien // concepts; Medien // media; Menschen mit Behinderungen // people with disabilities; Prävention // prevention; Recht // law; Schutzfaktoren // protection factor; Sexueller Missbrauch // sexual abuse; Täter*in // offender
FALSCH	FALSCH	FALSCH	Fegert.2018b	Fegert, Jörg M.; Jud, Andreas	Herausforderungen und Ergebnisse der Forschung zu Prävalenz sexueller Gewalt an Kindern und Jugendlichen	Zeitschrift für Pädagogik	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 8 Forschung	Forschungsergebnisse // research results; Forschungsstand // state of research; Jugendliche // youth; Kinder // children; Prävalenz // prevalence; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Fegert.2018b	Fegert, Jörg M.; Kölch, Michael; König, Elisa; Harsch, Daniela; Witte, Susanne; Hoffmann, Ulrike	Schutz vor sexueller Gewalt und Übergriffen in Institutionen		1 Soziale Rahmung; 1.2 Leitlinien; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Handbuch // handbook; Kinderschutz // child protection; Pädagogische Einrichtung // educational facilities; Prävention // prevention; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Fegert.2017b	Fegert, Jörg M.; Rassenhofer, Miriam; Gerke, Jelena	Die Folgen des Leids lindern	DJI Impulse	3 Thematischer Fokus; 3.4 Intervention; 6 Gewalt; 6.5 Negative Folgen; 9 Förderlinie; 9.1.3 Ich bin sicher!	Intervention // intervention; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Andresen.2015d	Andresen, Sabine; Künstlera, Sophie	Vulnerabilität und sexuelle Gewalt in der Kindheit	Zeitschrift für Sexualforschung	5 Adressat*innen; 5.1 Kinder; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.1.11 RifA	Forschungspraxis // research practice; Kinder // children; Sexualisierte Gewalt // sexual violence; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences; Vulnerabilität // vulnerability
FALSCH	FALSCH	FALSCH	Fegert.2015c	Fegert, Jörg M.; Wolff, Mechthild	Kompendium "Sexueller Missbrauch in Institutionen"		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.12 Safer Places	Handbuch // handbook; Handlungsempfehlungen // guidelines; Jugendliche // youth; Kinder- und Jugendhilfe // child welfare system; Kinderschutz // child protection; Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Fegter.2015	Fegter, Susann; Heite, Catrin; Mierendorff, Johanna; Richter, Martina	Neue Aufmerksamkeiten für Familie	Neue Praxis: Sonderheft	5 Adressat*innen; 5.3 Eltern und Familie	Familie // family
FALSCH	FALSCH	FALSCH	Feil.2016	Feil, Michael	Sexualität und Sexualerziehung aus katholischer Perspektive	BZgA Forum	1 Soziale Rahmung; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Kirche // church; Sexualerziehung // sex ed
FALSCH	FALSCH	FALSCH	Felix.2015	Felix, Marcus	Wer hat Angst vorm Regenbogen?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Diversität // diversity; Geschlechtsidentität // gender Identity; Lehrer*innen // Teachers; Schule // school; Sexuelle Bildung // sexuality education; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Fixemer.2018	Fixemer, Tom; Herzog, Patrick; Reichenecker, Saskia	Prävention von und Interventionen gegen sexualisierte Gewalt im digitalen Raum für Jungen* und junge Männer*	Kindesmisshandlung und -vernachlässigung	1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien	Digitale Medien // digital media; Konzepte, Materialien // concepts; Prävention // prevention; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Fixemer.2020	Fixemer, Tom; Hucke, Verena	Queerness, Flucht und Jugend im Szenekontext Sexarbeit	Sozialmagazin	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 1.4.3 Ethnizität; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 3.4 Intervention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.3 Diskriminierung; 6.5 Negative Folgen; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung; 9 Förderlinie; 9.2.11 SchutzNorm	Gefahrendiskurs // danger narrative; Geflüchtete // refugees; Jugendarbeit // youth work; Jugendliche // youth; Jugendsexualität // youth sexuality; junge Erwachsene // young adults; Kinderschutz // child protection; Macht // power; Menschenrechte // human rights; Normen // norms; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Fixemer.2020b	Fixemer, Tom; Schmitz, Alina Marlene	Sexuelle Bildung, Diversität und partizipative Schutzprozesse. Konzeptionelle Fluchtlinien und handlungspraktische Empfehlungen für die Jugendarbeit	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.3 Sexuelle Selbstbestimmung; 9 Förderlinie; 9.2.11 SchutzNorm	Diversität // diversity; Frauen // women; Geflüchtete // refugees; Gender Studies // Gender Studies; Geschlechterverhältnis // gender ratio; Gesundheit // health; Gewalt // violence; Haltung // attitude; Handlungsempfehlungen // guidelines; Heteronormativität // heteronormativity; Männer // men; Queerness // Queerness; Rassismus // racism; Recht // law; Selbstbestimmung // agency; Sexualität // sexuality; Sexualpädagog*innen // sex educators; Sexualpädagogik // sex education; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	Fobian.2018	Fobian, Clemens; Lindenberg, Michael; Ulfers, Rainer	Jungen als Opfer von sexueller Gewalt		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.5 Negative Folgen	Jungen // boys; Konzepte, Materialien // concepts; Männlichkeit // masculinity; Sexualisierte Gewalt // sexual violence; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Fobian.2020	Fobian, Clemens; Ulfers, Rainer	Jungen als Betroffene sexualisierter Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.4 Intervention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Geschlechtsidentität // gender Identity; Intervention // intervention; Jungen // boys; Pädagogik // pedagogy; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2015	Forum Sexualaufklärung	Heft 1-2015: Geschlechtsidentität und sexuelle Orientierung		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.3 Sexuelle Selbstbestimmung	Diskriminierung // discrimination; Geschlecht // gender; Geschlechterverhältnis // gender ratio; junge Erwachsene // young adults; Jungen // boys; Kinder // children; Kinderschutz // child protection; Kindeswohl // child welfare; kindliche Sexualität // childhood sexuality; Macht // power; Mädchen // girls; Pädagogik // pedagogy; Prävention // prevention; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Sexualerziehung // sex ed; Sexualpädagogik // sex education; Sexuelle Bildung // sexuality education; Sexuelle Vielfalt // sexual diversity; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality
FALSCH	FALSCH	FALSCH	Andresen.2018c	Andresen, Sabine; Tippelt, Rudolf	Sexuelle Gewalt in Kindheit und Jugend		6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.11 RifA	Forschungsergebnisse // research results; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2015b	Forum Sexualaufklärung	Heft 2-2015: Sexualisierte Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung	Grenzen // boundaries; Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Intervention // intervention; Prävalenz // prevalence; Prävention // prevention; Professionalität // professionality; Professionsethik // professional ethics; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2016	Forum Sexualaufklärung	Heft 1-2016: Verhütung / Notfallkontrazeption		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Intergeschlechtlichkeit // intersexuality; Intervention // intervention; Intimität // intimacy; Jugendsexualität // youth sexuality; Körper // body; Queerness // Queerness; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Selbstbestimmung // agency; Sexualerziehung // sex ed; Sexualität // sexuality; Sexualkultur // sexuality culture; Sexualpädagog*innen // sex educators; Sexuelle Bildung // sexuality education; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2016b	Forum Sexualaufklärung	Heft 2-2016: Sexualaufklärung im interreligiösen Dialog		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung	Gefahrendiskurs // danger narrative; Geschichte // history; Gesellschaft // society; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Homonationalismus // homonationalism; Homosexualität // homosexuality; interkulturell // intercultural; Kirche // church; Kommunikation // communication; Macht // power; Pädosexualität // pedosexuality; Prävention // prevention; Praxis // practice; Recht // law; Religion // religion; Sexualerziehung // sex ed; Sexualpädagog*innen // sex educators; Sexuelle Bildung // sexuality education; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2017	Forum Sexualaufklärung	Heft 1-2017: Sexualität und Behinderung		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung	Gewalt // violence; Grenzen // boundaries; Haltung // attitude; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Institutionelle Dynamiken // institutional dynamics; Jugendarbeit // youth work; Kinder- und Jugendhilfe // child welfare system; Kommunikation // communication; Konzepte, Materialien // concepts; Kooperation // cooperation; Macht // power; Menschen mit Behinderungen // people with disabilities; Menschenrechte // human rights; Normen // norms; Recht // law
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2017b	Forum Sexualaufklärung	Heft 2-2017: Verhütung und soziale Lage		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.6 Schicht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung	Digitale Medien // digital media; Gefahrendiskurs // danger narrative; Gender Studies // Gender Studies; Geschlechterverhältnis // gender ratio; Körper // body; Männlichkeit // masculinity; Medien // media; Prävention // prevention; Sexualität // sexuality; Soziale Ungleichheit // social inequality; Weiblichkeit // femininity
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2018	Forum Sexualaufklärung	Heft 1-2018: Kontext: Flucht		1 Soziale Rahmung; 1.1 Diskurse	Gewalt // violence; Grenzen // boundaries; Haltung // attitude; Handlungsempfehlungen // guidelines; Institutionelle Dynamiken // institutional dynamics; interkulturell // intercultural; Intersektionalität // intersectionality; Pädagogik // pedagogy; Professionalität // professionality; Professionsethik // professional ethics; Rassismus // racism; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2018b	Forum Sexualaufklärung	Heft 2-2018: Prävention sexualisierter Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch	Pädagogik // pedagogy; Prävention // prevention; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2019	Forum Sexualaufklärung	Heft 1-2019: Social Media		1 Soziale Rahmung; 1.3 Medien und Technologie	Jugendliche // youth; junge Erwachsene // young adults; Konzepte, Materialien // concepts; Macht // power; Medien // media; Menschenrechte // human rights; Nähe-Distanz-Regulation // boundary management; Normen // norms; Pädagogik // pedagogy; Professionalität // professionality; Professionsethik // professional ethics; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality
FALSCH	FALSCH	FALSCH	ForumSexualaufklarung.2020	Forum Sexualaufklärung	Heft 1-2020: Peer-Ansätze - Forum Sexualaufklärung		1 Soziale Rahmung; 1.1 Diskurse; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung; 8 Forschung	Forschungsergebnisse // research results; Forschungsmethoden // research methods; Forschungspraxis // research practice; Jugendsexualität // youth sexuality; Partizipation // participation; Peergewalt // peer violence; Prävention // prevention; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Franke.	Franke, Annika	Genderbewusstsein in der Schulsozialarbeit am Beispiel der Trans*Identität		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.3 Diskriminierung	Gender Studies // Gender Studies; Geschlecht // gender; Queer Theorie // Queer Theory; Schule // school; Soziale Arbeit // Social Work; Trans* // trans*
FALSCH	FALSCH	FALSCH	Apel.2016	Apel, Avichai	Schmirat Negia: Auf Abstand gehen	BZgA Forum	1 Soziale Rahmung; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Religion // religion; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Sexualität // sexuality; Sexualkultur // sexuality culture
FALSCH	FALSCH	FALSCH	FrankeMeyer.2018	Franke-Meyer, Diana; Kuhlmann, Carola	Soziale Bewegungen und Soziale Arbeit		1 Soziale Rahmung; 1.1 Diskurse	Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Franzheld.2018	Franzheld, Tobias	Auf welcher Seite stehen wir im Kinderschutz?	Sozial Extra (Sozial Extra)	3 Thematischer Fokus; 3.3 Kinderschutz	Haltung // attitude; Kinderschutz // child protection
FALSCH	FALSCH	FALSCH	Franzheld.2018b	Franzheld, Tobias	Berufsvergleiche im Kinderschutz	Der pädagogische Blick	3 Thematischer Fokus; 3.3 Kinderschutz	Kinder // children; Kinderschutz // child protection; Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Frense.2020	Frense, Elena	Partizipativer Jugendmedienschutz		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.3 Kinderschutz	Digitale Medien // digital media; Jugendliche // youth; junge Erwachsene // young adults; Kinder // children; Kommunikation // communication; Medien // media; Partizipation // participation; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Freund.2018	Freund, Ulli	Wenn da mal nichts passiert...!	Theorie und Praxis der Sozialpädagogik	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.2 Übergriff, Peergewalt	Grenzen // boundaries; Kindertagesstätte // day-care centre; kindliche Sexualität // childhood sexuality; Sexualisierte Gewalt // sexual violence; Sexualpädagogik // sex education
FALSCH	FALSCH	FALSCH	FREY.	FREY, VANESSA	Sexuelle Gewalt und Missbrauch von Kindern und Jugendlichen in der Heimerziehung		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 8 Forschung	Intervention // intervention; Jugendliche // youth; Kinder // children; Organisationskultur // organisational culture; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexueller Missbrauch // sexual abuse; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Friebel.2020	Friebel, Harry	Wenn sich Jungs selbst verletzen	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention	Aggression // aggression; Bedarfe // needs; Bewältigung // coping; Diagnostik // diagnostics; Disclosure // disclosure; Gender Studies // Gender Studies; Geschlecht // gender; Jungen // boys; Männer // men; Männlichkeit // masculinity
FALSCH	FALSCH	FALSCH	Fries.2020	Fries, Sabine	Gewalterfahrungen gehörloser Frauen		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.5 Behinderungen; 6 Gewalt; 6.5 Negative Folgen; 6.6 Resilienz; 8 Forschung	Frauen // women; Gesundheit // health; Gewalt gegen Frauen // violence against women; Körper // body; Langzeitfolgen // long-term effect; Menschen mit Behinderungen // people with disabilities; Resilienz // resilience; Risikofaktoren // risk factors; Schutzfaktoren // protection factor
FALSCH	FALSCH	FALSCH	fruehekindheitonline.de.	fruehe-kindheit-online.de	Frühe Kindheit - frühe Kindheit Nr. 1/20		3 Thematischer Fokus; 3.3 Kinderschutz; 3.4 Intervention	Gewalt // violence; Grenzen // boundaries; Jugendliche // youth; Kinder // children; Pädagogische Fachkräfte // pedagogial staff; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	Fuchslbauer.2018	Füchslbauer, Tina	Ist Sex soziale Arbeit?	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.1 Diskurse; 7 Sexualität; 7.2 Beziehungsgestaltung	Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Professionalität // professionality; Professionsethik // professional ethics; Sexualität // sexuality; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Ackermann.2021	Ackermann, Timo	Risikoeinschätzungsinstrumente und professionelles Handeln im Kinderschutz	Sozial Extra (Sozial Extra)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz	Kinderschutz // child protection; Professionalität // professionality; Risikofaktoren // risk factors; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	ApiculaVerlag.	Apicula Verlag	Gewalt- und Missbrauchsprävention		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder	Grundschule // elementary school; Kinder // children; Kindertagesstätte // day-care centre; Prävention // prevention; Professionalität // professionality; Schule // school; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Fuchslbauer.2019	Füchslbauer, Tina	“It’s bad enough being homeless”	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.2 LGBAQ*; 1.4.6 Schicht; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.3 Diskriminierung; 6.5 Negative Folgen	Intergeschlechtlichkeit // intersexuality; Intersektionalität // intersectionality; Jugendarbeit // youth work; Jugendliche // youth; Jugendsexualität // youth sexuality; Pädagogik // pedagogy; Queer Theorie // Queer Theory; Queerness // Queerness; Rassismus // racism; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences
FALSCH	FALSCH	FALSCH	Futty.2019	Fütty, Tamás Jules Joshua	Gender und Biopolitik		1 Soziale Rahmung; 1.1 Diskurse; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 6 Gewalt; 6.5 Negative Folgen; 8 Forschung	Bedarfe // needs; Feminismus // feminism; Forschungsergebnisse // research results; Gender Studies // Gender Studies; Gerechtigkeit // justice; Geschichte // history; Geschlechterverhältnis // gender ratio; Gesellschaft // society; Gewalt // violence; Grenzen // boundaries; Körper // body; Macht // power; Medizin // medicine; Menschenrechte // human rights; Normen // norms; Trans* // trans*
